Name of institution,Type of institution,Level,Country,State/Province,City,Website,Area of study,Programme,
Swinburne University of Technology,Public ,,Australia,Victoria,Melbourne,swinburne.edu.au,"Agriculture and Veterinary Medicine,Architecture and Construction,Business and Management,Computer science and IT,Creative Arts and Design,Engineering,Personal Care and Fitness,Health and Medicine,Humanities,Law,Social Studies and Media,Travel and Hospitality,Environment,","Horticulture and Landscape,Construction,Accounting,Business,Business administration,Entrepreneurship and innovation,Finance,Human resource management,International business,Management,Marketing,Games and interactive,Information management,Business information systems,Computer Systems Technology,Games development,Digital and interactive games,Business Analysis,Business Information Systems,Computer Systems Technology,Computer Science,Cybersecurity,Data Analytics,Data Management,Data Science,Networks,Software technology,Systems management,Branded environments,Building design,Communication and graphic design,Digital media design,Industrial and product design,Innovation and design,Interior architecture and design,Visual merchandising,Software design,Advanced Manufacturing Technology,Biomedical Engineering,Civil Engineering,Electrical and Electronic,Mechanical Engineering,Product Design Engineering,Robotics and Mechatronics,Software Engineering,Telecommunications,Exercise Science,Applied Statistics,Biomedical,Community Services,Counselling and Therapy,Forensic Behavioural Science,Health Communication,Health Across the Lifespan,Neuroscience,Nursing,Nutrition,Occupational Therapy,Psychology and Forensic Science,Psychology and Psychophysiology,Public and Environmental Health,Clinical Psychology,Psychology,Creative writng and literature,History,International studies,Languages other than English,Professional writing and editing,Criminology,Advertising,Cinema and screen studies,Digital advertising technology,Journalism,Media industries,Social media,Sociology,Economics,Social impact and philanthropy,Photography and visual arts,Animation,Film and Screen Production,Screen and Media,Aviation management,Human factors,Professional piloting,Events,Enviromental sustainability,Conservation and Land Management,Environmental Science,Environmental Sustainability",
University of Divinity,Public ,,Australia,Victoria,Melbourne,divinity.edu.au,,,
University of Melbourne,Public ,,Australia,Victoria,Melbourne,unimelb.edu.au,"Agriculture and Veterinary Medicine,Architecture and Construction,Business and Management,Business and Management,Creative Arts and Design,Engineering,Health and Medicine,Humanities,Law,Social Studies and Media,Environment,","Plant and Soil Science,Veterinary Medicine,Enviromental horticulture,Agricultural Science,Animal Health and Disease,Urban Planning,Architecture,Construction,Landscape architecture,Agribusiness,Agricultural Economics,Accounting,Actuarial Studies,Business,Finance,Management,Marketing,Computing,Digital technologies,Performing design,Computing and Software Systems,Data Science,Graphic design,Mechanical system,Electrical Systems,Environmental Engineering Systems,Psychology,Pathology,Pharmacology,Physiology,Health Informatics,Human Structure and Function,Oral Health,Ancient World Studies,Anthropology,Arabic,Art History,Arts Minors,Asian Studies,Australian Indigenous Studies,Chinese,Classics,Creative Writing,French,German,Hebrew and Jewish Studies,History,History and Philosophy of Science,Indonesian,Islamic Studies,Italian,Japanese,Russian,Spanish and Latin American Studies,Criminology,Economics,Linguistics and Applied Linguistics,Media and Communications,Screen and Cultural Studies,Sociology,Linguistics and Applied Linguistics,Publishing,Journalism,Animation,Film and Television,Production,Screenwriting,Climate and Weather,Ecology and Evolutionary Biology,Marine Biology",
Victoria University,Public ,,Australia,Victoria,Melbourne,vu.edu.au,,,
Alaska Pacific University,Private,Bachelor,The USA,Alaska,Anchorage,https://www.alaskapacific.edu/,Health and Medicine,Psychology,
University of Alaska - Anchorage,Public,Bachelor,The USA,Alaska,Anchorage,https://www.uaa.edu/,"Agriculture and Veterinary Medicine,Business and Management,Business and Management,Business and Management,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Computer Science and IT,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Law,Humantities,Humantities,Humantities","Agriculture,Business studies,Management,Accounting,Aerospace Engineering,Mining Engineering,Geological Engineering,Petroleum Engineering,Electrical Engineering,Computer Engineering,Civil and Environmental Engineering,Computer science,Journalism,Economics,Social work,Sociology,Legal Studies,History,Cultural Studies,Languages",
University of Alaska - Fairbanks,Public,Bachelor,The USA,Alaska,Fairbanks,https://www.uaf.edu/,"Agriculture and Veterinary Medicine,Business and Management,Business and Management,Business and Management,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Computer Science and IT,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Law,Humantities,Humantities,Humantities","Agriculture,Business studies,Management,Accounting,Aerospace Engineering,Mining Engineering,Geological Engineering,Petroleum Engineering,Electrical Engineering,Computer Engineering,Civil and Environmental Engineering,Computer science,Economics,Journalism,Social work,Sociology,Legal Studies,History,Cultural Studies,Languages",
University of Alaska - Southeast,Public,Bachelor,The USA,Alaska,Southeast,https://www.uas.edu/,"Agriculture and Veterinary Medicine,Business and Management,Business and Management,Business and Management,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Computer Science and IT,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Law,Humantities,Humantities,Humantities","Agriculture,Business studies,Management,Accounting,Aerospace Engineering,Mining Engineering,Geological Engineering,Petroleum Engineering,Electrical Engineering,Computer Engineering,Civil and Environmental Engineering,Computer science,Economics,Journalism,Social work,Sociology,Legal Studies,History,Cultural Studies,Languages",
Samford University,Private,Bachelor,The USA,Alabama,Birmingham,https://www.samford.edu/,"Business and Management,Business and Management,Business and Management,Business and Management,Computer Science and IT,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Creative Arts and Design,Creative Arts and Design,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Humantities,Humantities,Humantities,Humantities,Humantities,Law,Law","Accounting,Entrepreneurship,Marketing,Finance,Computer science,Nursing,Pharmacology,Pharmacology,Public health,Nutrition and health,Graphic design,Interior design,Journalism,Media,Public admnistration,Sociology,Literature,Psychology,History,Languages,Cultural Studies,Legal studies,",
University of Mobile,Private,Bachelor,The USA,Alabama,Prichard,http://umobile.edu/,"Business and Management,Business and Management,Computer Science and IT,Personal Care and Fitness,Health and Medicine,Humantities,Humantities,Humantities,Social Studies and Media,Creative Arts and Design","Management,Accounting,IT,Health and fitness,Nursing,Languages,History,English studies,Sociology,Graphic design",
Huntingdon College,Private,Bachelor,The USA,Alabama,Montgomery,http://www.huntingdon.edu/,"Business and Management,Business and Management,Personal Care and Fitness,Engineering,Agriculture and Veterinary Medicine,Law,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Humantities","Accounting,Management,Health and fitness,Veterianry medicine,Dentistry,Psychology,Ophthalmology,Pharmacology,Medicine,History",
Tuskegee University,Private,Bachelor,The USA,Alabama,Tuskegee,http://www.tuskegee.edu/,"Humantities,Humantities,Social Studies and Media,Social Studies and Media,Social Studies and Media,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Business and Management,Business and Management,Business and Management,Business and Management,Agriculture and Veterinary Medicine,Engineering,Engineering,Engineering,Engineering,Travel and Hospitality","Languages,History,Economics,Social work,Sociology,Nutrition and health,Psychology,Nursing,Public health,Accounting,Management,Marketing,Finance,Veterianry medicine,Aerospace Engineering,Chemical Engineering,Electrical Engineering,Mechanical Engineering,Hospitality",
